"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "JavaScript JSX", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\.env", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\.eslintrc.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\.prettierrc", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\README.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 0, 7, 23
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\package-lock.json", "JSON", 0, 0, 6271, 0, 0, 0, 0, 0, 1, 6272
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 62, 5, 148
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CardItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 8, 108
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CardItemId.jsx", "JavaScript JSX", 0, 0, 0, 0, 113, 0, 0, 0, 9, 122
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CartContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 8, 118
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\CartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 138, 0, 0, 2, 12, 152
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Comment.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 165, 0, 0, 0, 12, 177
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 2, 8, 57
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SearchResults.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 7, 68
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\SideBarHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 9, 91
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\components\TopSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 60, 0, 1, 16, 77
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 7, 2, 20
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\About\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\About\sections\section2.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 4, 59
